"","alias","Compartment","Mesocosm","Sample_type","Water_type","Time","Sampling_date","NA_ppm","group","adhP","aliA","badH","bamB","bamD","fadJ","fadN","gabD","mhpD","mhpE","phaZ","pobA","ppk","putA","soxY","soxZ"
"NS.1871.002.IDT_i7_116---IDT_i5_116.70-Mesocosm-11-2-Exp1-D28-Sed","70-Mesocosm-11-2-Exp1-D28-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D28","18-08-2021",0.4,"Sediments.No_plant.Artificial_OSPW.D28",153.692,32.126,63.037,503.53,116.852,146.69,230.968,235.525,41.947,21.679,79.042,56.654,381.725,174.981,46.926,22.498
"NS.1871.002.IDT_i7_117---IDT_i5_117.35-Mesocosm-6-1-Exp1-D8-Racine","35-Mesocosm-6-1-Exp1-D8-Racine","Roots","Mesocosm_6","Carex","OSPW","D8","29-07-2021",68.3,"Roots.Carex.OSPW.D8",2.322,1.62,0.81,16.471,2.916,6.102,8.964,10.908,1.836,1.566,2.862,3.132,19.496,9.018,3.51,1.728
"NS.1871.002.IDT_i7_118---IDT_i5_118.51-Mesocosm-2-1-Exp1-D28-Racine","51-Mesocosm-2-1-Exp1-D28-Racine","Roots","Mesocosm_2","Carex","OSPW","D28","18-08-2021",59.8,"Roots.Carex.OSPW.D28",4.463,0.48,2.256,20.481,4.128,11.08,17.268,19.714,3.695,4.654,4.557,3.645,30.265,12.33,4.461,2.734
"NS.1871.002.IDT_i7_119---IDT_i5_119.110-Mesocosm-7-2-Exp1-TEST-Racine","110-Mesocosm-7-2-Exp1-TEST-Racine","Roots","Mesocosm_7","Carex","OSPW","D84","13-10-2021",10.2,"Roots.Carex.OSPW.D84",2.836,1.159,1.969,13.949,3.701,4.862,9.494,12.264,1.216,1.156,3.184,2.491,17.187,9.608,1.793,0.637
"NS.1871.002.IDT_i7_121---IDT_i5_121.23-24-Mesocosm-12-1-12-2-Exp1-D-0-Rhizo","23-24-Mesocosm-12-1-12-2-Exp1-D-0-Rhizo","Rhizosphere","Mesocosm_12","Carex","OSPW","D-0","14-07-2021",0.7,"Rhizosphere.Carex.OSPW.D-0",91.626,23.59,43.322,275.11,66.96,99.855,144.792,164.487,28.259,16.009,55.218,37.357,246.616,126.406,32.953,15.699
"NS.1871.002.IDT_i7_122---IDT_i5_122.29-Mesocosm-3-1-Exp1-D8-Sed","29-Mesocosm-3-1-Exp1-D8-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D8","29-07-2021",75.1,"Sediments.No_plant.OSPW.D8",57.965,12.895,20.831,183.752,42.9,51.824,90.077,79.107,10.54,8.494,24.304,22.689,126.904,56.852,15.871,7.936
"NS.1871.002.IDT_i7_123---IDT_i5_123.36-Mesocosm-6-2-Exp1-D8-Rhizo","36-Mesocosm-6-2-Exp1-D8-Rhizo","Rhizosphere","Mesocosm_6","Carex","OSPW","D8","29-07-2021",68.3,"Rhizosphere.Carex.OSPW.D8",64.068,16.316,26.649,195.849,48.129,77.671,88.379,106.023,18.144,6.615,36.979,28.664,171.209,94.808,23.561,10.331
"NS.1871.002.IDT_i7_124---IDT_i5_124.40-Mesocosm-8-2-Exp1-D8-Sed","40-Mesocosm-8-2-Exp1-D8-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D8","29-07-2021",0.2,"Sediments.No_plant.Artificial_OSPW.D8",63.765,19.051,32.555,226.61,44.853,71.512,105.495,95.547,21.357,8.52,36.809,30.971,159.297,96.821,20.449,12.834
"NS.1871.002.IDT_i7_126---IDT_i5_126.52-Mesocosm-2-2-Exp1-D28-Sed","52-Mesocosm-2-2-Exp1-D28-Sed","Sediments","Mesocosm_2","Carex","OSPW","D28","18-08-2021",59.8,"Sediments.Carex.OSPW.D28",53.34,12.497,18.149,167.03,44.335,60.764,75.361,86.207,18.455,9.009,30.005,17.825,131.679,75.479,18.201,8.247
"NS.1871.002.IDT_i7_127---IDT_i5_127.63-Mesocosm-8-1-Exp1-D28-Sed","63-Mesocosm-8-1-Exp1-D28-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D28","18-08-2021",0.4,"Sediments.No_plant.Artificial_OSPW.D28",25.837,3.907,9.661,90.849,18.434,22.06,32.886,39.667,5.276,2.33,10.278,10.141,63.235,32.608,9.593,4.457
