"","alias","Compartment","Mesocosm","Sample_type","Water_type","Time","Sampling_date","NA_ppm","group","adhP","aliA","badH","bamB","bamD","fadJ","fadN","gabD","mhpD","mhpE","phaZ","pobA","ppk","putA","soxY","soxZ"
"NS.1871.002.IDT_i7_17---IDT_i5_17.118-Mesocosm-11-2-Exp1-TEST-Sed","118-Mesocosm-11-2-Exp1-TEST-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D84","13-10-2021",0.8,"Sediments.No_plant.Artificial_OSPW.D84",52.295,8.561,25.363,178.64,40.424,51.05,91.539,84.53,19.366,7.373,20.56,23.432,131.029,63.862,15.866,8.62
"NS.1871.002.IDT_i7_170---IDT_i5_170.33-Mesocosm-5-1-Exp1-D8-Sed","33-Mesocosm-5-1-Exp1-D8-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D8","29-07-2021",0.5,"Sediments.No_plant.Artificial_OSPW.D8",94.601,23.357,48.741,346.445,77.204,93.542,159.563,163.118,27.928,17.562,58.331,42.686,267.252,140.087,35.583,20.23
"NS.1871.002.IDT_i7_172---IDT_i5_172.44-Mesocosm-10-2-Exp1-D8-Sed","44-Mesocosm-10-2-Exp1-D8-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D8","29-07-2021",87.8,"Sediments.No_plant.OSPW.D8",94.931,20.485,34.747,294.778,74.627,96.432,138.435,141.551,26.489,15.85,54.533,38.685,234.135,125.097,28.92,14.526
"NS.1871.002.IDT_i7_173---IDT_i5_173.49-Mesocosm-1-1-Exp1-D28-Sed","49-Mesocosm-1-1-Exp1-D28-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D28","18-08-2021",45.3,"Sediments.No_plant.OSPW.D28",109.979,22.392,48.332,354.565,89.345,103.489,174.664,153.384,24.662,14.383,49.515,42.144,267.368,122.07,29.428,19.311
"NS.1871.002.IDT_i7_174---IDT_i5_174.55-Mesocosm-4-1-Exp1-D28-Sed","55-Mesocosm-4-1-Exp1-D28-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D28","18-08-2021",0.3,"Sediments.No_plant.Artificial_OSPW.D28",83.684,17.995,33.423,277.772,63.445,77.348,132.41,129.529,25.133,13.552,34.596,32.115,216.106,105.164,24.149,12.521
"NS.1871.002.IDT_i7_175---IDT_i5_175.67-Mesocosm-10-1-Exp1-D28-Sed","67-Mesocosm-10-1-Exp1-D28-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D28","18-08-2021",70.4,"Sediments.No_plant.OSPW.D28",54.976,8.549,22.129,174.565,37.392,53.843,89.275,85.084,16.023,10.053,26.829,18.162,143.92,77.082,16.151,7.917
"NS.1871.002.IDT_i7_176---IDT_i5_176.23-24-Mesocosm-12-1-12-2-Exp1-D-0-Racine","23-24-Mesocosm-12-1-12-2-Exp1-D-0-Racine","Roots","Mesocosm_12","Carex","OSPW","D-0","14-07-2021",0.7,"Roots.Carex.OSPW.D-0",9.352,4.413,6.057,53.585,9.671,21.051,74.715,62.783,6.218,1.54,11.054,6.273,98.76,69.392,8.029,4.944
"NS.1871.002.IDT_i7_177---IDT_i5_177.48-Mesocosm-12-2-Exp1-D8-Racine","48-Mesocosm-12-2-Exp1-D8-Racine","Roots","Mesocosm_12","Carex","OSPW","D8","29-07-2021",79.1,"Roots.Carex.OSPW.D8",8.503,2.43,3.508,32.934,8.841,12.822,21.866,30.634,3.575,1.89,9.041,6.543,40.217,20.247,7.826,2.766
"NS.1871.002.IDT_i7_178---IDT_i5_178.95-Mesocosm-12-1-Exp1-D42-Racine","95-Mesocosm-12-1-Exp1-D42-Racine","Roots","Mesocosm_12","Carex","OSPW","D42","01-09-2021",44.1,"Roots.Carex.OSPW.D42",2.125,0.67,2.01,11.733,2.068,4.357,5.583,7.874,0.559,1.062,1.174,2.122,13.075,6.033,1.228,1.899
"NS.1871.002.IDT_i7_18---IDT_i5_18.77-Mesocosm-3-1-Exp1-D42-Sed","77-Mesocosm-3-1-Exp1-D42-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D42","01-09-2021",83.9,"Sediments.No_plant.OSPW.D42",54.107,15.686,24.828,200.446,48.495,59.056,94.259,102.62,15.507,10.097,33.483,26.836,178.811,81.247,20.614,11.525
"NS.1871.002.IDT_i7_181---IDT_i5_181.27-Mesocosm-2-1-Exp1-D8-Rhizo","27-Mesocosm-2-1-Exp1-D8-Rhizo","Rhizosphere","Mesocosm_2","Carex","OSPW","D8","29-07-2021",74.8,"Rhizosphere.Carex.OSPW.D8",39.828,11.357,19.72,198.993,36.731,58.657,67.329,96.649,15.177,11.308,35.706,21.508,140.075,86.335,16.624,8.746
"NS.1871.002.IDT_i7_182---IDT_i5_182.34-Mesocosm-5-2-Exp1-D8-Sed","34-Mesocosm-5-2-Exp1-D8-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D8","29-07-2021",0.5,"Sediments.No_plant.Artificial_OSPW.D8",51.087,13.775,28.645,187.092,42.05,60.2,83.185,99.776,18.4,9.058,37.61,23.351,140.723,86.349,19.308,7.197
"NS.1871.002.IDT_i7_183---IDT_i5_183.38-Mesocosm-7-2-Exp1-D8-Sed","38-Mesocosm-7-2-Exp1-D8-Sed","Sediments","Mesocosm_7","Carex","OSPW","D8","29-07-2021",112.6,"Sediments.Carex.OSPW.D8",103.631,24.466,44.98,344.876,74.194,120.573,157.875,175.624,32.448,13.041,60.474,42.85,263.245,153.758,40.811,14.473
"NS.1871.002.IDT_i7_184---IDT_i5_184.45-Mesocosm-11-1-Exp1-D8-Sed","45-Mesocosm-11-1-Exp1-D8-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D8","29-07-2021",0.8,"Sediments.No_plant.Artificial_OSPW.D8",99.971,18.732,43.431,321.685,74.378,88.636,165.312,155.042,28.979,13.802,45.303,40.672,255.167,113.101,30.827,15.305
"NS.1871.002.IDT_i7_185---IDT_i5_185.50-Mesocosm-1-2-Exp1-D28-Sed","50-Mesocosm-1-2-Exp1-D28-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D28","18-08-2021",45.3,"Sediments.No_plant.OSPW.D28",67.746,13.919,31.197,234.153,55.505,70.433,113.958,111.27,19.95,10.127,37.98,27.404,168.334,97.667,21.69,13.301
"NS.1871.002.IDT_i7_186---IDT_i5_186.56-Mesocosm-4-2-Exp1-D28-Sed","56-Mesocosm-4-2-Exp1-D28-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D28","18-08-2021",0.3,"Sediments.No_plant.Artificial_OSPW.D28",110.333,19.773,49.101,353.19,88.182,101.519,168.444,164.738,28.782,11.271,44.265,39,269.494,121.915,33.852,18.252
"NS.1871.002.IDT_i7_187---IDT_i5_187.68-Mesocosm-10-2-Exp1-D28-Sed","68-Mesocosm-10-2-Exp1-D28-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D28","18-08-2021",70.4,"Sediments.No_plant.OSPW.D28",260.508,55.096,121.985,733.99,196.427,295.225,409.392,375.251,72.545,37.025,127.585,97.476,630.921,298.551,78.706,43.364
"NS.1871.002.IDT_i7_188---IDT_i5_188.27-Mesocosm-2-1-Exp1-D8-Racine","27-Mesocosm-2-1-Exp1-D8-Racine","Roots","Mesocosm_2","Carex","OSPW","D8","29-07-2021",74.8,"Roots.Carex.OSPW.D8",16.101,2.54,2.681,59.686,16.709,21.559,32.721,43.394,7.2,5.977,8.328,8.332,70.661,39.683,11.487,6.027
"NS.1871.002.IDT_i7_189---IDT_i5_189.95-Mesocosm-12-1-Exp1-D42-Sed","95-Mesocosm-12-1-Exp1-D42-Sed","Sediments","Mesocosm_12","Carex","OSPW","D42","01-09-2021",44.1,"Sediments.Carex.OSPW.D42",82.633,17.654,38.984,275.995,68.01,83.562,137.888,142.276,26.88,17.98,44.579,35.355,222.248,117.431,29.205,16.916
"NS.1871.002.IDT_i7_19---IDT_i5_19.85-Mesocosm-7-1-Exp1-D42-Sed","85-Mesocosm-7-1-Exp1-D42-Sed","Sediments","Mesocosm_7","Carex","OSPW","D42","01-09-2021",55.2,"Sediments.Carex.OSPW.D42",72.188,11.782,29.796,212.138,57.346,69.309,96.501,100.116,17.83,11.597,38.711,22.634,170.291,94.369,26.677,9.971
"NS.1871.002.IDT_i7_190---IDT_i5_190.100-Mesocosm-2-2-Exp1-TEST-Racine","100-Mesocosm-2-2-Exp1-TEST-Racine","Roots","Mesocosm_2","Carex","OSPW","D84","13-10-2021",21.6,"Roots.Carex.OSPW.D84",3.025,0.54,0.918,9.666,3.186,5.184,6.858,3.888,0.54,1.242,2.538,2.052,8.856,4.806,1.404,0.648
"NS.1871.002.IDT_i7_2---IDT_i5_2.99-Mesocosm-2-1-Exp1-TEST-Racines","99-Mesocosm-2-1-Exp1-TEST-Racines","Roots","Mesocosm_2","Carex","OSPW","D84","13-10-2021",21.6,"Roots.Carex.OSPW.D84",6.519,1.06,2.544,16.271,5.459,8.374,9.328,13.303,1.431,0.742,7.792,3.339,16.642,9.116,4.081,1.749
"NS.1871.002.IDT_i7_20---IDT_i5_20.93-Mesocosm-11-1-Exp1-D42-Sed","93-Mesocosm-11-1-Exp1-D42-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D42","01-09-2021",0.8,"Sediments.No_plant.Artificial_OSPW.D42",89.049,16.193,32.69,269.606,63.861,79.709,156.4,127.855,24.755,14.145,42.865,31.079,216.514,109.487,29.287,13.052
"NS.1871.002.IDT_i7_21---IDT_i5_21.5-Mesocosm-3-1-Exp1-D-0-Sed","5-Mesocosm-3-1-Exp1-D-0-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D-0","14-07-2021",1.1,"Sediments.No_plant.OSPW.D-0",70.145,17.454,32.846,227.174,55.613,82.943,109.061,122.405,21.123,8.916,41.343,30.57,185.9,101.208,28.038,12.634
"NS.1871.002.IDT_i7_22---IDT_i5_22.12-Mesocosm-6-2-Exp1-D-0-Sed","12-Mesocosm-6-2-Exp1-D-0-Sed","Sediments","Mesocosm_6","Carex","OSPW","D-0","14-07-2021",1,"Sediments.Carex.OSPW.D-0",46.39,10.648,22.105,168.847,38.309,57.283,89.808,86.61,13.782,8.036,28.663,22.01,122.794,65.935,18.968,9.793
"NS.1871.002.IDT_i7_23---IDT_i5_23.19-Mesocosm-10-1-Exp1-D-0-Sed","19-Mesocosm-10-1-Exp1-D-0-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D-0","14-07-2021",1,"Sediments.No_plant.OSPW.D-0",78.02,19.354,42.354,264.997,64.55,94.204,118.791,142.799,23.693,11.658,50.97,34.049,212.438,127.315,26.911,15.204
"NS.1871.002.IDT_i7_25---IDT_i5_25.109-Mesocosm-7-1-Exp1-TEST-Sed","109-Mesocosm-7-1-Exp1-TEST-Sed","Sediments","Mesocosm_7","Carex","OSPW","D84","13-10-2021",10.2,"Sediments.Carex.OSPW.D84",72.325,17.114,31.489,252.902,63.22,72.514,117.699,121.344,23.106,14.374,42.214,25.028,200.539,110.633,25.883,13.996
"NS.1871.002.IDT_i7_26---IDT_i5_26.109-Mesocosm-7-1-Exp1-TEST-Racines","109-Mesocosm-7-1-Exp1-TEST-Racines","Roots","Mesocosm_7","Carex","OSPW","D84","13-10-2021",10.2,"Roots.Carex.OSPW.D84",5.836,0.864,2.647,24.106,6.65,7.89,13.351,17.513,1.405,2.647,6.163,3.352,28.001,12.916,4.001,2.757
"NS.1871.002.IDT_i7_27---IDT_i5_27.103-Mesocosm-4-1-Exp1-TEST-Sed","103-Mesocosm-4-1-Exp1-TEST-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D84","13-10-2021",0.3,"Sediments.No_plant.Artificial_OSPW.D84",75.17,16.623,27.543,203.12,49.476,76.844,100.787,103.624,15.094,9.974,30.584,24.647,177.483,86.727,21.792,9.399
"NS.1871.002.IDT_i7_28---IDT_i5_28.111-Mesocosm-8-1-Exp1-TEST-Sed","111-Mesocosm-8-1-Exp1-TEST-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D84","13-10-2021",1.3,"Sediments.No_plant.Artificial_OSPW.D84",55.001,11.778,24.921,209.182,40.503,60.591,100.209,84.8,19.228,11.097,28.176,25.583,157.829,77.411,17.983,9.949
"NS.1871.002.IDT_i7_29---IDT_i5_29.120-Mesocosm-12-2-Exp1-TEST-Sed","120-Mesocosm-12-2-Exp1-TEST-Sed","Sediments","Mesocosm_12","Carex","OSPW","D84","13-10-2021",23.4,"Sediments.Carex.OSPW.D84",64.212,15.689,30.57,209.266,52.415,76.774,100.706,105.133,17.453,13.575,38.999,25.722,160.061,95.76,22.766,13.371
"NS.1871.002.IDT_i7_3---IDT_i5_3.101-Mesocosm-3-1-Exp1-TEST-Sed","101-Mesocosm-3-1-Exp1-TEST-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D84","13-10-2021",57.4,"Sediments.No_plant.OSPW.D84",56.084,10.034,18.036,168.362,36.775,56.334,76.465,81.226,16.067,11.303,27.057,18.098,133.364,79.132,21.658,9.021
"NS.1871.002.IDT_i7_30---IDT_i5_30.78-Mesocosm-3-2-Exp1-D42-Sed","78-Mesocosm-3-2-Exp1-D42-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D42","01-09-2021",83.9,"Sediments.No_plant.OSPW.D42",62.08,10.838,24.43,176.379,48.426,58.061,86.742,88.262,15.156,9.58,32.702,24.995,146.089,88.057,23.239,7.517
"NS.1871.002.IDT_i7_31---IDT_i5_31.85-Mesocosm-7-1-Exp1-D42-Rhizo","85-Mesocosm-7-1-Exp1-D42-Rhizo","Rhizosphere","Mesocosm_7","Carex","OSPW","D42","01-09-2021",55.2,"Rhizosphere.Carex.OSPW.D42",58.456,14.819,26.306,203.178,46.368,62.665,90.933,96.179,16.786,8.571,37.435,22.262,161.99,85.1,18.398,10.247
"NS.1871.002.IDT_i7_32---IDT_i5_32.94-Mesocosm-11-2-Exp1-D42-Sed","94-Mesocosm-11-2-Exp1-D42-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D42","01-09-2021",0.8,"Sediments.No_plant.Artificial_OSPW.D42",63.795,10.624,25.492,182.843,41.551,55.243,93.169,84.924,13.682,9.874,22.122,20.246,140.112,55.493,16.616,7.619
"NS.1871.002.IDT_i7_33---IDT_i5_33.6-Mesocosm-3-2-Exp1-D-0-Sed","6-Mesocosm-3-2-Exp1-D-0-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D-0","14-07-2021",1.1,"Sediments.No_plant.OSPW.D-0",75.606,24.578,32.928,242.985,66.388,91.397,128.418,131.242,24.049,11.424,48.003,36.866,209.109,111.18,27.314,13.2
"NS.1871.002.IDT_i7_34---IDT_i5_34.13-Mesocosm-7-1-Exp1-D-0-Sed","13-Mesocosm-7-1-Exp1-D-0-Sed","Sediments","Mesocosm_7","Carex","OSPW","D-0","14-07-2021",0.4,"Sediments.Carex.OSPW.D-0",88.709,23.499,42.967,287.01,53.868,84.743,132.699,147.912,29.619,13.125,43.728,35.021,203.67,112.095,26.712,14.291
"NS.1871.002.IDT_i7_37---IDT_i5_37.119-Mesocosm-12-1-Exp1-TEST-Sed","119-Mesocosm-12-1-Exp1-TEST-Sed","Sediments","Mesocosm_12","Carex","OSPW","D84","13-10-2021",23.4,"Sediments.Carex.OSPW.D84",53.724,10.514,26.031,194.459,47.369,67.069,90.518,97.041,16.281,13.43,33.89,25.53,145.045,87.327,21.977,10.641
"NS.1871.002.IDT_i7_38---IDT_i5_38.119-Mesocosm-12-1-Exp1-TEST-Racines","119-Mesocosm-12-1-Exp1-TEST-Racines","Roots","Mesocosm_12","Carex","OSPW","D84","13-10-2021",23.4,"Roots.Carex.OSPW.D84",5.466,0.758,0.757,14.513,4.383,8.775,10.174,16.845,0.975,2.275,2.597,4.55,24.318,8.502,5.742,3.792
"NS.1871.002.IDT_i7_39---IDT_i5_39.105-Mesocosm-5-1-Exp1-TEST-Sed","105-Mesocosm-5-1-Exp1-TEST-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D84","13-10-2021",0.1,"Sediments.No_plant.Artificial_OSPW.D84",55.244,11.214,24.591,201.792,41.314,63.237,83.796,90.309,18.212,8.797,29.546,19.51,132.187,80.446,16.606,10.843
"NS.1871.002.IDT_i7_4---IDT_i5_4.110-Mesocosm-7-2-Exp1-TEST-Sed","110-Mesocosm-7-2-Exp1-TEST-Sed","Sediments","Mesocosm_7","Carex","OSPW","D84","13-10-2021",10.2,"Sediments.Carex.OSPW.D84",62.387,10.887,24.276,199.017,52.5,63.134,98.183,97.495,15.265,13.387,34.28,23.398,166.442,99.678,19.211,10.951
"NS.1871.002.IDT_i7_40---IDT_i5_40.112-Mesosocm-8-2-Exp1-TEST-Sed","112-Mesosocm-8-2-Exp1-TEST-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D84","13-10-2021",1.3,"Sediments.No_plant.Artificial_OSPW.D84",42.383,12.719,22.611,170.708,40.172,56.228,74.864,68.393,15.555,7.684,19.965,22.288,145.381,64.475,13.603,7.305
"NS.1871.002.IDT_i7_41---IDT_i5_41.120-Mesocosm-12-2-Exp1-TEST-Rhizo","120-Mesocosm-12-2-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_12","Carex","OSPW","D84","13-10-2021",23.4,"Rhizosphere.Carex.OSPW.D84",89.892,21.741,41.376,275.125,68.857,98.831,137.672,156.054,28.804,20.089,55.856,37.932,231.199,128.375,32.198,16.379
"NS.1871.002.IDT_i7_42---IDT_i5_42.79-Mesocosm-4-1-Exp1-D42-Sed","79-Mesocosm-4-1-Exp1-D42-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D42","01-09-2021",0.2,"Sediments.No_plant.Artificial_OSPW.D42",102.211,22.756,41.604,311.653,75.278,102.373,154.272,165.561,29.681,26.41,60.703,37.899,272.712,157.237,38.562,18.196
"NS.1871.002.IDT_i7_43---IDT_i5_43.87-Mesocosm-8-1-Exp1-D42-Sed","87-Mesocosm-8-1-Exp1-D42-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D42","01-09-2021",0.7,"Sediments.No_plant.Artificial_OSPW.D42",82.542,16.101,33.329,281.15,63.34,75.449,141.368,121.05,23.156,13.146,40.64,31.938,202.787,97.093,24.453,10.953
"NS.1871.002.IDT_i7_45---IDT_i5_45.7-Mesocosm-4-1-Exp1-D-0-Sed","7-Mesocosm-4-1-Exp1-D-0-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D-0","14-07-2021",1.4,"Sediments.No_plant.Artificial_OSPW.D-0",80.363,18.939,36.114,246.742,59.849,77.432,116.472,119.63,18.752,12.097,37.779,34.755,196.427,91.15,27.132,13.178
"NS.1871.002.IDT_i7_49---IDT_i5_49.99-Mesocosm-2-1-Exp1-TEST-Rhizo","99-Mesocosm-2-1-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_2","Carex","OSPW","D84","13-10-2021",21.6,"Rhizosphere.Carex.OSPW.D84",65.865,15.635,25.568,205.396,48.159,74.089,98.116,108.921,19.047,12.471,43.647,24.658,169.958,102.631,26.858,11.514
"NS.1871.002.IDT_i7_5---IDT_i5_5.117-Mesocosm-11-1-Exp1-TEST-Sed","117-Mesocosm-11-1-Exp1-TEST-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D84","13-10-2021",0.8,"Sediments.No_plant.Artificial_OSPW.D84",66.041,12.205,28.908,177.204,45.324,64.122,100.171,107.831,16.852,11.245,25.512,24.599,181.363,72.123,14.503,9.093
"NS.1871.002.IDT_i7_50---IDT_i5_50.97-Mesocosm-1-1-Exp1-TEST-Sed","97-Mesocosm-1-1-Exp1-TEST-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D84","13-10-2021",51.6,"Sediments.No_plant.OSPW.D84",56.391,12.238,24.237,179.348,40.891,49.771,90.226,91.332,13.968,8.063,24.958,22.556,151.035,72.71,16.366,9.023
"NS.1871.002.IDT_i7_51---IDT_i5_51.106-Mesocosm-5-2-Exp1-TEST-Sed","106-Mesocosm-5-2-Exp1-TEST-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D84","13-10-2021",0.1,"Sediments.No_plant.Artificial_OSPW.D84",56.544,10.54,26.722,184.512,45.074,59.582,87.11,88.04,14.88,10.974,30.256,22.01,146.939,86.985,21.142,10.416
"NS.1871.002.IDT_i7_52---IDT_i5_52.113-Mesocosm-9-1-Exp1-TEST-Sed","113-Mesocosm-9-1-Exp1-TEST-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D84","13-10-2021",61.7,"Sediments.No_plant.OSPW.D84",94.961,23.762,38.636,269.415,74.499,92.882,149.206,138.712,25.58,17.779,46.83,31.567,232.897,124.885,29.743,17.859
"NS.1871.002.IDT_i7_53---IDT_i5_53.104-Mesocosm-4-2-Exp1-TEST-Sed","104-Mesocosm-4-2-Exp1-TEST-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D84","13-10-2021",0.3,"Sediments.No_plant.Artificial_OSPW.D84",104.314,18.327,45.15,342.753,81.203,115.741,154.752,178.336,30.289,18.651,60.302,38.451,273.874,153.064,42.889,19.877
"NS.1871.002.IDT_i7_54---IDT_i5_54.80-Mesocosm-4-2-Exp1-D42-Sed","80-Mesocosm-4-2-Exp1-D42-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D42","01-09-2021",0.2,"Sediments.No_plant.Artificial_OSPW.D42",93.514,18.01,36.598,292.052,70.409,76.466,142.545,132.076,24.105,16.248,38.453,32.537,222.542,107.422,27.435,17.284
"NS.1871.002.IDT_i7_55---IDT_i5_55.88-Mesocosm-8-2-Exp1-D42-Sed","88-Mesocosm-8-2-Exp1-D42-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D42","01-09-2021",0.7,"Sediments.No_plant.Artificial_OSPW.D42",56.128,12.53,20.049,172.879,41.277,54.954,83.698,76.807,13.855,7.122,27.028,21.716,132.662,65.905,16.659,7.272
"NS.1871.002.IDT_i7_56---IDT_i5_56.1-Mesocosm-1-1-Exp1-D-0-Sed","1-Mesocosm-1-1-Exp1-D-0-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D-0","14-07-2021",1.1,"Sediments.No_plant.OSPW.D-0",48.634,13.263,25.766,152.975,31.761,46.867,75.111,81.413,17.242,5.053,27.669,20.896,127.223,71.569,15.347,6.502
"NS.1871.002.IDT_i7_57---IDT_i5_57.8-Mesocosm-4-2-Exp1-D-0-Sed","8-Mesocosm-4-2-Exp1-D-0-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D-0","14-07-2021",1.4,"Sediments.No_plant.Artificial_OSPW.D-0",62.355,16.254,28.852,214.051,45.104,64.493,108.65,109.412,17.301,9.743,31.795,24.094,169.445,88.691,18.972,9.61
"NS.1871.002.IDT_i7_59---IDT_i5_59.21-Mesocosm-11-1-Exp1-D-0-Sed","21-Mesocosm-11-1-Exp1-D-0-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D-0","14-07-2021",1.1,"Sediments.No_plant.Artificial_OSPW.D-0",52.881,17.131,25.612,167.473,38.534,51.687,84.936,88.191,14.884,9.095,27.709,19.625,129.93,64.756,20.012,8.477
"NS.1871.002.IDT_i7_6---IDT_i5_6.75-Mesocosm-2-1-Exp1-D42-Rhizo","75-Mesocosm-2-1-Exp1-D42-Rhizo","Rhizosphere","Mesocosm_2","Carex","OSPW","D42","01-09-2021",40.6,"Rhizosphere.Carex.OSPW.D42",49.248,13.865,18.586,166.699,36.029,51.542,74.279,80.285,16.865,8.753,31.042,17.371,121.29,81.496,17.184,7.859
"NS.1871.002.IDT_i7_61---IDT_i5_61.107-Mesocosm-6-1-Exp1-TEST-Rhizo","107-Mesocosm-6-1-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_6","Carex","OSPW","D84","13-10-2021",13.1,"Rhizosphere.Carex.OSPW.D84",91.104,17.139,37.715,295.039,73.081,98.076,140.044,146.82,27.587,16.658,55.057,35.879,233.367,138.824,32.303,17.982
"NS.1871.002.IDT_i7_62---IDT_i5_62.98-Mesocosm-1-2-Exp1-TEST-Sed","98-Mesocosm-1-2-Exp1-TEST-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D84","13-10-2021",51.6,"Sediments.No_plant.OSPW.D84",63.338,15.075,33.793,230.343,52.665,71.885,107.235,120.485,19.973,13.162,42.855,28.057,199.261,95.1,22.311,9.29
"NS.1871.002.IDT_i7_63---IDT_i5_63.108-Mesocosm-6-2-Exp1-TEST-Sed","108-Mesocosm-6-2-Exp1-TEST-Sed","Sediments","Mesocosm_6","Carex","OSPW","D84","13-10-2021",13.1,"Sediments.Carex.OSPW.D84",56.241,9.606,23.874,179.341,36.08,51.044,80.027,87.131,14.561,10.05,27.066,17.4,145.834,77.332,16.914,7.5
"NS.1871.002.IDT_i7_64---IDT_i5_64.114-Mesocosm-9-2-Exp1-TEST-Sed","114-Mesocosm-9-2-Exp1-TEST-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D84","13-10-2021",61.7,"Sediments.No_plant.OSPW.D84",63.802,16.561,25.666,214.835,49.783,61.655,91.868,101.155,21.548,9.094,34.232,24.557,154.032,83.474,18.145,11.011
"NS.1871.002.IDT_i7_65---IDT_i5_65.73-Mesocosm-1-1-Exp1-D42-Sed","73-Mesocosm-1-1-Exp1-D42-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D42","01-09-2021",64.9,"Sediments.No_plant.OSPW.D42",36.172,7.274,19.886,140.768,37.269,52.974,64.499,82.251,13.387,8.308,24.968,17.249,123.387,66.623,19.048,5.473
"NS.1871.002.IDT_i7_66---IDT_i5_66.81-Mesocosm-5-1-Exp1-D42-Sed","81-Mesocosm-5-1-Exp1-D42-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D42","01-09-2021",0.5,"Sediments.No_plant.Artificial_OSPW.D42",50.835,8.448,23.089,174.306,47.866,71.629,86.032,87.04,17.905,10.128,30.195,19.92,150.709,84.84,20.211,10.944
"NS.1871.002.IDT_i7_68---IDT_i5_68.2-Mesocosm-1-2-Exp1-D-0-Sed","2-Mesocosm-1-2-Exp1-D-0-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D-0","14-07-2021",1.1,"Sediments.No_plant.OSPW.D-0",88.094,23.353,40.503,293.314,63.539,110.735,147.581,163.747,28.664,14.869,60.377,44.208,236.906,126.725,33.713,16.258
"NS.1871.002.IDT_i7_69---IDT_i5_69.9-Mesocosm-5-1-Exp1-D-0-Sed","9-Mesocosm-5-1-Exp1-D-0-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D-0","14-07-2021",0.9,"Sediments.No_plant.Artificial_OSPW.D-0",77.556,22.43,35.492,261.498,52.181,83.106,118.129,123.306,24.674,9.933,40.66,36.426,204.106,113.7,28.031,14.787
"NS.1871.002.IDT_i7_7---IDT_i5_7.83-Mesocosm-6-1-Exp1-D42-Rhizo","83-Mesocosm-6-1-Exp1-D42-Rhizo","Rhizosphere","Mesocosm_6","Carex","OSPW","D42","01-09-2021",43.5,"Rhizosphere.Carex.OSPW.D42",70.852,20.268,30.781,253.75,61.993,88.082,116.838,115.957,22.258,14.395,44.804,30.307,187.829,109.016,24.906,13.5
"NS.1871.002.IDT_i7_73---IDT_i5_73.109-Mesocosm-7-1-Exp1-TEST-Rhizo","109-Mesocosm-7-1-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_7","Carex","OSPW","D84","13-10-2021",10.2,"Rhizosphere.Carex.OSPW.D84",84.955,19.458,36.339,306.095,77.406,94.844,149.159,147.085,25.679,21.291,48.242,31.775,259.652,138.539,33.256,16.433
